5655;PARIN E;80mg/0.8mL;128;Amp. X 0.8 mL;2;2013-11-06;E21212;319
5656;PARINMOL;100mg;57;10 mL;1;2012-05-04;N23469;257
5657;PARINMOL;120mg;77;Fco. X 60 mL;1;2011-10-27;N22974;257
5658;PARINMOL;500mg;152;Caja Tab.;100;2010-05-16;N21767;257
5659;PARKINEF;250mg+25mg;152;Caja Tab.;30;2010-12-22;N22205;63
5660;PAROXET;20mg;28;Caja Comp.;10;2009-12-09;N17704;167
5661;PAROXET;20mg;28;Caja Comp.;30;2009-12-09;N17704;167
5662;PAROXET;40mg;28;Caja Comp.;30;2013-07-15;E20844;167
5663;PAROXET XR;12.5mg;152;Caja Tab.;30;2011-06-25;N22879;167
5664;PAROXET XR;25mg;152;Caja Tab.;30;2011-09-25;N22880;167
5665;PASSIVA;25mg;162;Caja Tab.;20;2011-05-30;N22566;167
5666;PASSIVA;40mg;162;Caja Tab.;20;2011-05-30;N22567;167
5667;PASSIVA;60mg;162;Caja Tab.;20;2011-05-30;N22568;167
5668;PATADINE;0.001;123;Fco. X 5 mL;1;2012-07-25;N23688;255
5669;PATANOL;0.001;111;5 mL;1;2011-10-17;E14184;13
5670;PATANOL S;0.002;111;2.5 mL;1;2012-07-11;E19549;13
5671;PATECTOR;150mg+10mg/mL;128;Amp. X 1 mL;1;2012-02-27;E19179;417
5672;PAXIL CR;12.5mg;152;Caja Tab.;10;2014-12-21;E22127;203
5673;PAXIL CR;25mg;152;Caja Tab.;30;2014-12-21;E22127;203
5674;PECTO FLEM;;77;Fco. X 100 mL;1;2013-02-06;N24312;257
5675;PECTUS;;77;Fco. X 120 mL;1;2011-11-29;N23053;257
5676;PEDIALYTE 45 SABOR A CEREZA;;124;Fco X 500 mL;1;2013-09-12;E15841;3
5677;PEDIATRIN;100mg/5mL;141;Fco. X 60 mL;1;2012-09-03;N23797;421
5678;PEGASYS;180mcg/0.5mL;128;Caja Jer. Precarg. X 0.5 mL;1;2012-06-13;BE00406;379
5679;PEGINTRON;80mcg/0.5mL;74;Caja Vial + Dis. + Jer.;1;2016-01-18;BE00323;397
5680;PEGINTRON;100mcg/0.5mL;74;Caja Vial + Dis. + Jer.;1;2011-03-09;BE00332;293
5681;PEGINTRON;150mcg/0.5mL;74;Caja Vial + Vial + Jer + 2Ag.;1;2009-10-06;E16806;397
5682;PELOMEK;1mg;152;Caja Tab.;30;2012-09-27;E19819;249
5683;PENBRITIN;500mg;8;Caja Cap.;100;2012-12-09;E10515;203
5684;PENEM;1g;92;Vial;1;2013-10-20;E21141;283
5685;PENEM;500mg;92;Vial;1;2013-05-08;E20639;283
5686;PENETRO;;171;Pote X 100 g;1;2011-11-09;N18207;273
5687;PENISTATIN;500mg;74;Caja Amp.;1;2011-01-09;N22252;6
5688;PENTASA;500mg;28;Caja Comp.;50;2014-06-03;E21739;43
5689;PENTASA;1g;139;Caja Sob. Sup.;50;2014-03-02;E21583;43
5690;PENTASA;1g;139;Caja Sup.;28;2014-03-02;E21583;43
5691;PENTAXIM;;148;Caja Jer. Prell.;1;2014-03-22;BE00214;396
5692;PENTOXIFILINA;400mg;152;Caja Tab.;100;2012-07-15;NG3399;167
5693;PENTOXIFILINA;400mg;152;Caja Tab.;30;2013-01-09;EG3806;186
5694;PENZAL;20mg;152;Caja Tab.;10;2016-03-31;N22443;6
5695;PENZAL;40mg;152;Caja Tab.;10;2011-05-10;N22527;6
5696;PEPTOBISMOL;262mg;160;Sob. Tab.;4;2010-07-25;E13083;355
5697;PEPTO - BISMOL SABOR CEREZA;262mg/15mL;77;Fco. X 110 mL;1;2012-09-11;E19763;355
5698;PEPTOGASTRIN;87.33mg/5mL;124;Fco. X 150 mL;1;2013-06-11;N24719;404
5699;PERFUNGOL;0.01;111;Fco. X 20 g;1;2008-09-10;N20823;21
5700;PERFUNGOL;0.01;44;20 g;1;2007-11-27;N16564;21
5701;PERFUNGOL;0.01;106;60 g;1;2012-08-01;N23699;21
5702;PERFUNGOL;0.01;135;20 mL;1;2008-09-10;N20823;21
5703;PERFUNGOL 1;500mg;9;Caja Cap.;6;2013-01-02;E20129;21
5704;PERLUTAL;;128;Amp.;1;2011-12-27;E10007;52
5705;PERMIXON;160mg;8;Caja Cap.;30;2002-09-16;E6185;282
5706;PHARMALER;5mg/5mL;77;Fco. Vidrio X 60 mL;1;2013-11-28;N25280;96
5707;PHARMALER;10mg;162;Caja Tab.;100;2013-02-28;N24402;96
5708;PHARMAPRED;5mg/5mL;77;Fco. X 120 mL;1;2011-07-02;N19961;225
5709;PHARMAPRED;5mg/5mL;141;Fco. X 100 mL;1;2013-09-11;N25005;225
5710;PHARMAPRED;20mg;152;Caja Tab.;100;2012-11-08;N24022;225
5711;PHARMAPRED;50mg;152;Caja Tab.;100;2012-11-09;N24027;225
5712;PHARMICIL;0.01;135;Fco. Atom. X 40 mL;1;2014-08-28;N26112;299
5713;PIASCLEDINE;300mg;9;Caja Cap.;15;2013-02-12;E20315;88
5714;PIASCLEDINE;300mg;9;Caja Cap.;30;2013-02-12;E20315;88
5715;PICOZ;7.5mg/mL;124;Caja Fco. Got. X 10 mL;1;2012-03-13;E19225;322
5716;PICRATO DE BUTABAN;;171;Tubo X 30 g;1;2011-09-16;N1415;282
5717;PIDOGREL N;75mg;162;Caja Tab.;30;2011-09-06;E18734;306
5718;PIMCEF;1g;99;Vial;1;2013-05-28;E20694;319
5719;PINAR;50mg;37;Caja Comp.;20;2010-03-10;E17178;198
5720;PINAR;100mg;37;Caja Comp.;10;2010-04-13;E17246;198
5721;PIOGLAR;15mg;152;Caja Tab.;10;2010-02-25;E17149;370
5722;PIOLET 15;15mg;152;Caja Tab.;30;2014-02-04;E21524;7
5723;PIOLET 30;30mg;152;Caja Tab.;30;2014-02-04;E21525;7
5724;PIOUNO 15;15mg;152;Caja Tab.;30;2012-06-05;E19455;346
5725;PIOUNO 30;30mg;152;Caja Tab.;30;2012-06-01;E19443;346
5726;PIPERACILINA + TAZOBACTAM;4g+500mg;99;Vial;1;2013-08-05;EG5886;344
5727;PIPERTAZ;4g+500mg;97;Vial;1;2013-09-22;E21061;283
5728;PIPLEX;5mg;9;Caja Cap.;30;2013-08-21;E20939;167
5729;PIPLEX;10mg;9;Caja Cap.;30;2013-08-26;E20956;167
5730;PIPLEX;20mg;9;Caja Cap.;30;2011-09-27;E14168;167
5731;PIPLEX;30mg;9;Caja Cap.;30;2012-01-26;E19113;167
5732;PIRANTEL;250mg;152;Caja Tab.;60;2010-08-19;NG4733;167
5733;PIRAZINAMIDA;500mg;152;Caja Tab.;100;2012-01-30;NG5216;167
5734;PIRAZINAMIDA;500mg;152;Caja Tab.;30;2012-03-12;NG251;136
5735;PIRAZINAMIDA;500mg;152;Blist. Tab.;100;2012-03-12;NG251;136
5736;PIRIDOXINA;50mg;152;Caja Tab.;100;2013-11-06;NG1825;6
5737;PIRIDOXINA;300mg;128;Amp. X 3 mL;25;2012-09-25;EG5527;167
5738;PIRO 20;20mg;152;Caja Tab.;100;2011-05-25;N22558;369
5739;PIROCAPS PLUS;20mg;152;Caja Tab.;10;2006-12-30;N18641;217
5740;PIROMED B12;;28;Caja Comp.;20;2013-04-07;E20551;115
5741;PIROMED RELAX;;28;Caja Comp.;20;2013-03-12;E20457;115
5742;PIROXICAM;20mg;152;Caja Tab.;100;2011-10-23;NG5133;210
5743;PIROXICAM;20mg;152;Caja Tab.;100;2010-02-04;EG4530;251
5744;PIROXICAM;20mg;152;Caja Tab.;100;2013-11-24;NG925;421
5745;PIROXICAM;20mg;152;Caja Tab.;100;2014-02-25;NG1927;216
5746;PIROXICAM;20mg/mL;128;Caja Amp.;25;2012-10-01;EG5537;167
5747;PIROXICAM;40mg/2mL;128;Caja Amp.;25;2012-10-01;EG5533;167
5748;PIROXICAM;20mg;152;Caja Tab.;100;2012-06-12;NG5354;167
5749;PIROXICAM;20mg;8;Caja Cap.;10;2011-12-17;EG452;186
5750;PIROXICAM;0.005;52;Tubo X 40 g;1;2011-03-02;EG3318;186
5751;PIROXICAM;20mg/mL;74;Amp.;5;2009-12-05;EG1056;186
5752;PIROXICAM;40mg/2mL;74;Amp.;5;2011-01-02;EG1547;186
5753;PIROXICAM;20mg;152;Caja Tab.;100;2013-03-30;NG1678;228
5754;PIROXICAM;20mg;152;Caja Tab.;200;2010-05-19;NG1249;421
5755;PIROXIFEN;0.005;52;Tubo X 20 g;1;2011-08-25;N22784;205
5756;PLAGRIL;75mg;152;Caja Tab.;10;2009-01-12;E16123;276
5757;PLAQUINOL;200mg;152;Caja Tab.;10;2012-07-02;N16401;396
5758;PLASYODINE;;135;Fco. X 70 mL;1;2010-11-16;N3145;282
5759;PLATAGG I;75mg;162;Caja Tab.;10;2011-05-30;E18438;322
5760;PLATSIDERM;;42;Env. X 30 g;1;2013-02-28;N24410;351
5761;PLATSIDERM;;42;Env. X 50 g;1;2013-02-28;N24410;351
5762;PLATSIDERM;;42;Env. X 250 g;1;2013-02-28;N24410;351
5763;PLATSIDERM;;42;Env. X 500 g;1;2013-02-28;N24410;351
5764;PLAVERYL;75mg;152;Caja Tab.;10;2013-12-03;E21294;422
5765;PLAVIGARD;75mg;28;Caja Comp.;10;2013-05-26;E20681;283
5766;PLENALIV;100mg;82;Caja Ov.;3;2014-02-20;E16259;425
5767;PLENALIV;100mg;82;Caja Ov.;7;2014-02-20;E16259;425
5768;PLENDIL;5mg;152;Caja Tab.;20;2012-02-27;E19175;29
5769;PLENDIL;10mg;152;Caja Tab.;10;2012-02-27;E19176;29
5770;PLENYLIFE;50mg;152;Caja Tab.;40;2009-06-28;N21285;44
5771;PLEREN;60mg/2mL;74;Amp. X 2 mL;1;2012-12-13;E20075;167
5772;PLEREN FLASH;;128;Caja Amp. I + Amp. II;1;2012-11-09;E19948;167
5773;PLEREN PLUS;;152;Caja Tab.;50;2010-05-21;N21527;167
5774;PLETAAL;50mg;28;Caja Comp.;20;2012-04-23;E19330;235
5775;PLETAAL;100mg;28;Caja Comp.;20;2012-04-20;E19325;235
5776;PLIDAN;5mg/mL;57;15 mL;1;2013-10-18;N14028;381
5777;PLIDAN;0.01;57;15 mL;1;2012-12-16;E15039;381
5778;PLIDAN COMPUESTO NF;;128;Amp.;1;2013-06-16;E10970;381
5779;PLIDAN COMPUESTO NF;;37;Caja Comp.;100;2013-06-16;E10971;381
5780;PLIDAN FORTE;;28;Caja Amp.;2;2012-01-09;E14282;381
5781;PLIDAN COMPUESTO NF;;28;Caja Comp.;20;2013-06-16;E10971;381
5782;PLIDOLOR COMPUESTO;10mg+125mg;37;Caja Comp.;100;2012-12-09;N20407;276
5783;PLIDOLOR COMPUESTO;100mg+125mg;74;Amp. X 2 mL (1 Dosis);1;2009-10-12;N21422;276
5784;PLIDOMAX COMPUESTO;;152;Caja Tab.;100;2012-10-26;N23990;431
5785;PLIMAXX COMPUESTO;;28;Caja Comp.;16;2013-11-14;N25227;421
5786;PLINODOL COMPUESTO;;162;Caja Tab.;100;2010-11-10;N22101;166
5787;PLUROPON;70mg;63;Caja Grag.;20;2011-04-12;E9372;369
5788;PLUSABCIR;300mg;28;Caja Comp.;60;2013-03-25;E20508;283
5789;PNEUMO 23;;128;Caja Jer. Prell. X 0.5 mL (1 Dosis);1;2014-11-25;BE00047;396
5790;POENBIOTIC;;145;5 mL;1;2012-02-23;E19173;381
5791;POENGATIF;;123;5 mL;1;2011-02-16;E18156;381
5792;POLIGELINA;0.035;128;Fco. X 500 mL;1;2012-03-14;EG5303;370
5793;POLIRREUMIN;200mg;28;Caja Comp.;60;2014-01-09;E21409;330
5794;POLYGYNAX;;21;Caja Cap.;6;2013-08-08;E15754;43
5795;POLYTAR SHAMPOO;;24;150 mL;1;2012-05-15;E19397;203
5796;PONARIS;500mg;37;Caja Comp.;7;2013-03-27;E20516;381
5797;PONARIS;500mg;37;Caja Comp.;14;2013-03-27;E20516;381
5798;PONARIS;500mg;37;Caja Comp.;70;2013-03-27;E20516;381
5799;PONARIS;750mg;37;Caja Comp.;5;2013-03-27;E20518;381
5800;PONARIS;500mg/20mL;128;Caja Vial X 20 mL;1;2015-06-24;E17453;381
5801;PONSTAN RD;200mg;152;Caja Tab.;10;2013-11-12;E11300;331
5802;PONSTAN RD;200mg;152;Caja Tab.;20;2013-11-12;E11300;331
5803;PONSTAN RD;200mg;152;Caja Tab.;100;2013-11-12;E11300;331
5804;PONTI OFTENO;0.005;123;Env. X 10 mL;1;2011-10-05;E18832;311
5805;PORIS;70mg;152;Caja Sob. Tab. x 4;1;2013-05-29;N20679;421
5806;PORIS;70mg;152;Caja Sob. Tab. x 4;2;2013-05-29;N20679;421
5807;PORIS PLUS;;152;Caja Sob. Tab. X 32;4;2009-12-16;N21484;421
5808;PORIS PLUS;;152;Caja Sob. Tab. x 64;8;2009-12-16;N21484;421
5809;PORTIL;;42;Env. X 20 g;1;2010-05-22;N19660;351
5810;POSIPEN;250mg;8;Caja Cap.;10;2013-02-21;E20370;203
5811;POSIPEN;500mg;8;Caja Cap.;100;2013-02-20;E20364;203
5812;POSIPEN;250mg;141;Fco. X 60 mL;1;2013-02-22;E20379;203
5813;POSITON;;42;Tubo X 30 g;1;2010-04-18;E12820;12
5814;POSITON;;171;Tubo X 30 g;1;2010-04-11;E12798;12
5815;POSTDAY;0.75mg;152;Caja Tab.;2;2010-11-17;E17806;254
5816;POSTINOR 1;1.5mg;28;Caja Comp.;1;2010-04-18;E17268;183
5817;POSTINOR 2;0.75mg;28;Caja Comp.;2;2011-11-20;E14208;183
5818;POSTINOR 2;0.75mg;28;Caja Comp.;20;2011-11-20;E14208;183
5819;POSTINOR 2;0.75mg;28;Caja Comp.;50;2011-11-20;E14208;183
5820;POSTINOR 2;0.75mg;28;Caja Comp.;100;2011-11-20;E14208;183
5821;POTEKAM;4mg;92;Amp.;5;2010-11-15;E17797;101
5822;POVIN;;107;Tubo X 20 g;1;2009-05-27;E16479;5
5823;POVIN;;107;Tubo X 35 g;1;2009-05-27;E16479;5
5824;POVIYODO;0.1;135;Fco. X 60 mL;1;2014-02-07;N17203;393
5825;POWERCORT;0.0005;42;Tubo X 15 g;1;2014-10-18;E16837;190
5826;PRADAXA;75mg;8;Caja Cap.;10;2013-11-04;E21189;52
5827;PRADAXA;75mg;8;Caja Cap.;30;2013-11-04;E21189;52
5828;PRADAXA;110mg;8;Caja Cap.;10;2013-11-05;E21193;52
5829;PRADAXA;110mg;8;Caja Cap.;30;2013-11-05;E21193;52
5830;PRALAZOLE;15mg;8;Caja Cap.;30;2014-08-10;E21854;342
5831;PRALAZOLE;30mg;8;Caja Cap.;30;2014-10-01;E21972;342
5832;PRAMINEX;25mg;152;Caja Tab.;30;2010-08-24;N19747;6
5833;PRANEX;60mg;8;Caja Cap.;10;2011-07-12;E18570;37
5834;PRANEX LP;90mg;8;Caja Cap.;10;2011-08-24;E14117;37
5835;PRAVACOL;40mg;152;Caja Tab.;10;2010-07-14;E13053;51
5836;PRAVALIP;20mg;152;Caja Tab.;20;2013-02-11;N24325;300
5837;PRAZIMEK;600mg;152;Caja Tab.;10;2012-03-30;E19278;249
5838;PRAZOGASTRIN;30mg;8;Caja Cap.;16;2011-10-17;N22938;153
5839;PREBICTAL;75mg;8;Caja Cap.;14;2013-06-18;E20770;418
5840;PREBICTAL;150mg;8;Caja Cap.;14;2013-06-18;E20771;418
5841;PREBICTAL;300mg;8;Caja Cap.;14;2013-06-18;E20772;418
5842;PRECLAR;;102;Fco. X 50 mL;1;2013-10-29;N25163;421
5843;PRECLAR;;162;Caja Tab.;28;2013-10-30;N25166;421
5844;PRECID;5mg/5mL;77;Caja Fco. X 120 mL;1;2013-02-04;N24299;59
5845;PRECID;20mg;152;Caja Tab.;100;2014-02-13;N25579;59
5846;PRECID;50mg;152;Caja Tab.;100;2013-03-17;N24465;59
5847;PRED FORTE;0.01;145;Fco. Got. X 5 mL;1;2014-01-14;E21432;369
5848;PREDALEN;5mg;152;Caja Tab.;100;2012-04-09;N23400;257
5849;PREDALEN;20mg;152;Caja Tab.;100;2012-04-03;N23392;257
5850;PREDALEN;50mg;152;Caja Tab.;100;2012-03-19;N23343;257
5851;PREDFINA;;123;Fco. X 5 mL;1;2013-01-30;E20251;167
5852;PREDNISOLONA;0.01;141;5 mL;1;2007-01-15;NG3113;255
5853;PREDNISONA;5mg;152;Caja Tab.;100;2014-01-19;EG6063;6
5854;PREDNISONA;50mg;152;Caja Tab.;100;2009-10-01;NG2131;6
5855;PREDNISONA;20mg;152;Caja Tab.;100;2010-08-04;NG4724;25
5856;PREDNISONA;50mg;152;Caja Tab.;100;2008-01-17;NG3613;25
5857;PREDNISONA;5mg;152;Caja Tab.;100;2013-09-17;NG3972;167
5858;PREDNISONA;50mg;152;Caja Tab.;100;2012-05-11;NG5325;167
5859;PREDNISONA;5mg;162;Caja Tab.;100;2013-01-09;NG5457;177
5860;PREDNISONA;20mg;162;Caja Tab.;100;2013-07-03;NG3812;177
5861;PREDNISONA;50mg;162;Caja Tab.;100;2010-09-29;NG4755;177
5862;PREDNISONA;5mg;152;Caja Tab.;100;2011-12-17;NG416;210
5863;PREDNISONA;5mg/5mL;77;Caja Fco. X 120 mL;1;2014-02-16;NG4237;216
5864;PREDNIDOL;20mg;152;Caja Tab.;100;2012-09-20;N23860;96
5865;PREDNISONA;50mg;152;Caja Tab.;100;2013-05-05;NG3760;216
5866;PREDNISAN;5mg;152;Caja Tab.;100;2014-10-14;N19390;421
5867;PREDNISONA;50mg;152;Caja Tab.;100;2013-07-18;NG3839;421
5868;PREDNISONA;5mg;152;Caja Tab.;100;2011-06-14;NG242;266
5869;PREDNISONA;20mg;152;Caja Tab.;100;2012-01-10;NG3100;266
5870;PREDNISONA;50mg;152;Caja Tab.;100;2012-03-22;NG3280;266
5871;PREDNISONA;20mg;152;Caja Tab.;100;2012-09-18;NG3451;282
5872;PREDNISONA;20mg;152;Caja Tab.;30;2012-09-18;NG3451;282
5873;PREDNISONA;50mg;152;Caja Tab.;100;2012-09-11;NG3439;282
5874;PREDNISONA;50mg;152;Caja Tab.;30;2012-09-11;NG3439;282
5875;PREDNIMASS;5mg;152;Caja Tab.;100;2014-08-20;N26058;300
5876;PREDNISONA;5mg;152;Caja Tab.;100;2011-01-05;NG2592;369
5877;PREDNISONA;20mg;152;Caja Tab.;100;2011-01-08;NG2597;369
5878;PREDNISONA;50mg;152;Caja Tab.;100;2011-01-05;NG2590;369
5879;PREDNISONA;5mg;152;Caja Tab.;100;2010-10-24;NG1350;228
5880;PREDNISONA;20mg;152;Caja Tab.;100;2015-06-12;NG2409;228
5881;PREDNISONA;50mg;152;Caja Tab.;100;2015-03-24;NG2357;228
5882;PREDNISONA;5mg;152;Caja Tab.;100;2014-07-04;NG1051;421
5883;PREDNISONA;5mg;152;Caja Tab.;500;2014-07-04;NG1051;421
5884;PREDSO;0.01;141;Fco. X 5 mL;1;2012-05-10;N23480;255
5885;PREDSONA;20mg;152;Caja Tab.;100;2013-02-13;N24334;145
5886;PREFOX T;;60;Caja Fco. Got. X 5 mL;1;2012-09-06;E19744;134
5887;PREGNON;0.75mg;162;Caja Tab.;2;2014-03-08;E16309;133
5888;PREGNYL;500UI;99;Amp.;1;2013-09-17;E21039;397
5889;PREGNYL;1500UI;99;Amp.;3;2013-09-17;E21038;293
5890;PREGOBIN;75mg;8;Caja Cap.;30;2013-02-26;E20389;167
5891;PREGOBIN;150mg;8;Caja Cap.;30;2013-02-28;E20410;167
5892;PREMARIN CREMA V;0.0006;42;Tubo X 21 g;1;2009-08-13;E12074;440
5893;PREMARIN;0.625mg;63;Caja Grag.;1;2007-12-30;E15106;440
5894;PRETERAX;;28;Caja Comp.;30;2013-07-02;E20811;43
5895;PREVEMB;0.75mg;37;Blist. Comp.;2;2014-05-20;E21711;288
5896;PREVENAR;16mcg;148;Caja Vial X 0.5 mL;1;2015-08-11;BE00068;331
5897;PREVENCEL;;8;Caja Cap.;30;2013-10-24;E21159;34
5898;PREVITA;;8;Caja Cap.;100;2013-09-04;N24974;264
5899;PREXIGE;100mg;28;Caja Comp.;20;2011-03-30;E18302;307
5900;PREXIGE;400mg;28;Caja Comp.;5;2009-09-21;E16771;307
5901;PRIMACEF;1g;97;Caja Amp.;25;2011-01-04;E18007;420
5902;PRIMOSISTON;;128;Amp. X 1 mL;1;2012-09-02;E6138;37
5903;PRIMPERAN;10mg/2mL;128;Amp. X 2 mL;1;2012-12-18;E15062;396
5904;PRIMPERAN;10mg;28;Caja Comp.;100;2015-04-04;E12783;396
5905;PRIMPERAN;2.6mg/mL;57;30 mL;1;2011-02-12;E13614;396
5906;PRIMPERAN;5mg/mL;111;Fco. X 100 mL;1;2011-01-30;E13589;396
5907;PRIORIX;;92;Caja Jer. Prell. + Vial + 2 Ag.;1;2012-07-10;BE00121;203
5908;PROBERTAN;150mg;152;Caja Tab.;20;2012-09-05;N23807;167
5909;PROBERTAN;300mg;152;Caja Tab.;20;2012-08-29;N23789;167
5910;PROBIOX;500mg;152;Caja Tab.;50;2012-08-25;N16484;421
5911;PROCAIN;1000000UI;103;Vial;10;2013-04-29;N18906;421
5912;PROCICAR;;42;60 g;1;2010-05-10;E12868;381
5913;PROCLAT ALFA;2000UI;128;Vial;1;2013-09-09;BE00167;6
5914;PROCOPS 50;50mg;28;Caja Comp.;10;2013-07-25;E20869;115
5915;PROCTO GLYVENOL;;42;Tubo X 30 g;1;2009-07-27;E12033;307
5916;PROCTO GLYVENOL;;139;Caja Sup.;5;2010-05-12;E12874;307
5917;PROCTOGEL;;42;Tubo X 30 g;1;2009-04-27;E11779;278
5918;PROFEN;100mg/5mL;146;Fco. X 60 mL;1;2012-09-18;N23854;289
5919;PROFENID;100mg;28;Caja Comp.;30;2011-06-05;E13915;396
5920;PROFENID;;52;Tubo X 30 g;1;2012-01-23;E14320;396
5921;PROFENID;100mg/2mL;128;Amp. X 2 mL;6;2014-02-07;E7323;396
5922;PROGENDO;100mg;9;Caja Cap.;30;2013-05-19;E15528;167
5923;PROGENDO;200mg;9;Caja Cap.;30;2011-01-03;E18002;167
5924;PROGENDO;400mg;9;Caja Cap.;30;2010-12-09;E17914;167
5925;PROGERING;10mg;5;Caja Sob.;1;2009-06-10;E11912;198
5926;PROGRAF;1mg;8;Caja Cap.;50;2010-01-12;E16990;235
5927;PROGYNOVA;1mg;63;Caja Grag.;1;2011-09-13;E14159;37
5928;PROGYNOVA;2mg;63;Caja Grag.;1;2011-03-10;E18219;37
5929;PROLIX;300mg;152;Caja Tab.;100;2012-06-06;N23550;167
5930;PROLONG 1000;9mg/dosis;136;Fco. Spray X 10 g;1;2010-05-11;E12873;278
5931;PROLUTON DEPOT;250mg/mL;128;Amp. X 1 mL;1;2012-08-28;E6121;37
5932;PROMALGEN N;500mg;152;Caja Tab.;100;2011-08-16;N143;12
5933;PROMALGEN N;1g/2mL;74;Caja Amp. X 2 mL;25;2014-02-04;N17190;12
5934;PROMALGEN N;1g/2mL;74;Caja Amp. X 2 mL + Jer.;1;2014-02-04;N17190;12
5935;PROMALGEN N;1.5g/3mL;74;Caja Amp. X 3 mL;25;2011-08-16;N142;12
5936;PROMALGEN N;1.5g/3mL;74;Caja Amp. X 3 mL + Jer.;1;2011-08-16;N142;12
5937;ATACADOL;220mg;152;Caja Tab.;180;2013-09-02;N24956;421
5938;ATACADOL;550mg;152;Caja Tab.;180;2013-09-09;N24993;421
5939;PROMIZEN 550;550mg;152;Caja Tab.;30;2014-01-19;N25484;216
5940;PROPRANOLOL;40mg;152;Caja Tab.;100;2012-05-26;NG542;210
5941;PROPRANOLOL;40mg;152;Caja Tab.;100;2011-06-21;NG1486;228
5942;PROPECIA;1mg;162;Caja Tab.;28;2012-10-18;E19884;293
5943;PROPEXOL;10mg;152;Caja Tab.;100;2010-09-25;N19758;6
5944;PROPOVAN;10mg/mL;50;Amp. X 20 mL;1;2013-06-24;E20790;323
5945;PROPOXI 66;;152;Caja Tab.;100;2009-07-20;N19314;228
5946;PROPRANOLOL;40mg;28;Caja Comp.;100;2013-10-17;EG2406;421
5947;PROSCAR;5mg;152;Caja Tab.;15;2012-12-20;E20163;293
5948;PROSCAR;5mg;152;Caja Tab.;30;2012-12-20;E20163;293
5949;PROSTERID;0.4mg;28;Caja Comp.;10;2010-10-28;E17741;167
5950;PROSTERID;0.4mg;28;Caja Comp.;30;2010-10-28;E17741;167
5951;PROSTIGMINE;0.5mg/mL;128;Amp. X 1 mL;6;2010-02-24;E12653;149
5952;PROTAMINA SULFATO;1000UH/mL;128;Amp. X 5 mL;1;2014-02-09;EG6110;16
5953;PROTAMINA SULFATO;50mg/5mL;128;Amp.;1;2013-10-06;EG2419;323
5954;PROTELOS;;66;Caja Sob. X 2 g;28;2013-02-11;E20300;43
5955;PROTOPIC;0.0003;171;Tubo X 10 g;1;2014-09-01;E21908;379
5956;PROTOPIC;0.001;171;Tubo X 10 g;1;2015-03-19;E22212;379
5957;PROVERA;5mg;152;Caja Tab.;1;2014-01-08;E21405;331
5958;PROVON;100mg/5mL;141;Fco. X 60 mL;1;2015-04-11;N17916;421
5959;PROVON;400mg;152;Caja Tab.;20;2010-02-28;N17858;421
5960;PROXACIN;500mg;8;Caja Cap.;20;2011-06-18;N19954;6
5961;PROXIDOL;275mg;8;Caja Cap.;12;2011-07-24;N19973;273
5962;PROXIDOL;550mg;8;Caja Cap.;100;2010-10-03;N19787;273
5963;PROXIDOL;550mg;162;Caja Tab.;100;2010-10-03;N19787;273
5964;PROZAC;20mg;8;Caja Cap.;7;2014-02-09;E5713;128
5965;PROZAC;20mg;8;Caja Cap.;14;2014-02-09;E5713;128
5966;PROZAC;20mg;8;Caja Cap.;28;2014-02-09;E5713;128
5967;PROZAC;20mg;111;Fco. X 70 mL;1;2009-12-02;E7735;128
5968;PRURIX;;79;Fco. X 120 mL;1;2011-09-25;E18795;203
5969;PSICO SOMA;;77;Fco. X 90 mL;1;2013-07-14;N12335;12
5970;PUBERSIN;;77;Fco. X 350 mL;1;2011-10-25;N22962;257
5971;PULMIEL;;77;Fco. X 120 mL;1;2012-08-15;N23751;393
5972;PULMITOS PEDIATRICO;;77;Fco. X 90 mL;1;2013-08-22;N24922;393
5973;PULMITOS ADULTO;;77;Fco. X 90 mL;1;2013-08-22;N24923;393
5974;PULMOL COMPUESTO;;77;Fco. X 120 mL;1;2012-11-12;N20366;393
5975;PULMOL G;;77;Fco. X 120 mL;1;2013-12-30;N17122;393
5976;PULMOZYME;2.5mg/2.5mL;128;Amp. X 2.5 mL;6;2011-05-08;E13842;379
5977;PUREGON;50UI/0.5mL;111;Amp. X 0.5 mL;1;2014-01-16;BE00576;397
5978;PUREGON;100UI/0.5mL;111;Amp. X 0.5 mL;1;2014-01-16;BE00577;397
5979;PUREGON;600UI/0.72mL;128;Amp.;1;2014-07-13;BE00634;397
5980;PURINATOR;;141;Fco. X 100 mL;1;2013-01-04;N24180;88
5981;PURINATOR;;152;Caja Tab.;30;2013-01-03;N24175;88
5982;PURINATOR;;152;Caja Tab.;100;2013-01-03;N24175;88
5983;PURINOR;;141;Fco. X 100 mL;1;2012-12-26;N24165;88
5984;PURINOR;;152;Caja Tab.;30;2013-02-14;N24348;88
5985;PURINOR;;152;Caja Tab.;100;2013-02-14;N24348;88
5986;PYLOPAC;;8;Caja 7 Blist.;8;2010-07-11;E17485;315
5987;PYRIDINOX;100mg;152;Caja Tab.;100;2011-12-13;N23091;431
5988;PYRIDIUM;100mg;152;Caja Tab.;100;2011-06-27;N22648;210
5989;PYRIDIUM COMPLEX;;8;Caja Cap.;100;2013-08-06;N24881;210
5990;QUADRIDERM EXTRA SP;;42;Tubo X 10 g;1;2012-08-25;E10386;293
5991;QUALIPRESS;10mg;152;Caja Tab.;100;2009-08-18;N21364;363
